Rank,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPositionPPR
1,Antonio Brown,PIT,8,34,WR,WR1,null,null,null,null,null,1.2
2,Julio Jones,ATL,11,34,WR,WR2,121,121,121,121,121,2.8
3,Odell Beckham Jr.,NYG,8,30,WR,WR3,null,null,null,null,null,3.4
3,David Johnson,ARI,9,31,RB,RB1,null,null,null,null,null,3.4
5,Todd Gurley II,LAR,8,28,RB,RB2,null,null,null,null,null,6.3
6,A.J. Green,CIN,9,34,WR,WR4,192,192,192,192,192,6.4
6,DeAndre Hopkins,HOU,9,30,WR,WR5,90.2,90.2,90.2,90.2,90.2,6.4
8,Ezekiel Elliott,DAL,7,27,RB,RB3,27.3,27.3,27.3,27.3,27.3,8.3
9,Allen Robinson II,JAX,5,29,WR,WR6,53.9,53.9,53.9,53.9,53.9,9.2
10,Lamar Miller,HOU,9,31,RB,RB4,null,null,null,null,null,9.8
11,Adrian Peterson,MIN,6,37,RB,RB5,null,null,null,null,null,10.7
12,Le'Veon Bell,PIT,8,31,RB,RB6,null,null,null,null,null,12.3
13,Brandon Marshall,NYJ,11,38,WR,WR7,null,null,null,null,null,13
14,Keenan Allen,LAC,11,30,WR,WR8,29.3,29.3,29.3,29.3,29.3,13.8
15,Rob Gronkowski,NE,9,33,TE,TE1,null,null,null,null,null,14.2
16,Mike Evans,TB,6,29,WR,WR9,26.1,26.1,26.1,26.1,26.1,15.7
17,Dez Bryant,DAL,7,34,WR,WR10,null,null,null,null,null,16.4
18,Jordy Nelson,GB,4,37,WR,WR11,null,null,null,null,null,17.3
19,Devonta Freeman,ATL,11,30,RB,RB7,null,null,null,null,null,19.2
20,Jamaal Charles,KC,5,36,RB,RB8,null,null,null,null,null,19.4
21,Amari Cooper,LV,10,28,WR,WR12,83.8,83.8,83.8,83.8,83.8,20.1
22,LeSean McCoy,BUF,10,34,RB,RB9,null,null,null,null,null,22
23,Alshon Jeffery,CHI,9,33,WR,WR13,null,null,null,null,null,22.1
24,Brandin Cooks,NO,5,29,WR,WR14,57.9,57.9,57.9,57.9,57.9,23.3
25,Eddie Lacy,GB,4,32,RB,RB10,null,null,null,null,null,24
26,Mark Ingram II,NO,5,33,RB,RB11,188,188,188,188,188,25.5
27,Jarvis Landry,MIA,8,30,WR,WR15,165,165,165,165,165,26.9
28,Sammy Watkins,BUF,10,29,WR,WR16,195,195,195,195,195,28.3
29,T.Y. Hilton,IND,10,33,WR,WR17,null,null,null,null,null,29.4
30,Demaryius Thomas,DEN,11,35,WR,WR18,null,null,null,null,null,29.7
31,Doug Martin,TB,6,34,RB,RB12,null,null,null,null,null,30.8
32,Randall Cobb,GB,4,32,WR,WR19,185,185,185,185,185,31.5
33,CJ Anderson,DEN,11,32,RB,RB13,null,null,null,null,null,33.2
34,Cam Newton,CAR,7,33,QB,QB1,null,null,null,null,null,34.5
35,Jordan Reed,WAS,9,32,TE,TE2,null,null,null,null,null,35.1
35,Julian Edelman,NE,9,36,WR,WR20,null,null,null,null,null,35.1
37,Latavius Murray,LV,10,33,RB,RB14,null,null,null,null,null,35.8
38,Jeremy Maclin,KC,5,34,WR,WR21,null,null,null,null,null,37.3
39,Donte Moncrief,IND,10,29,WR,WR22,null,null,null,null,null,38.4
40,Aaron Rodgers,GB,4,39,QB,QB2,77.9,77.9,77.9,77.9,77.9,38.7
41,Kelvin Benjamin,CAR,7,32,WR,WR23,null,null,null,null,null,39.2
42,DeMarco Murray,TEN,13,35,RB,RB15,null,null,null,null,null,40.3
43,Thomas Rawls,SEA,5,29,RB,RB16,null,null,null,null,null,41
44,Matt Forte,NYJ,11,37,RB,RB17,null,null,null,null,null,43.1
45,Golden Tate,DET,10,34,WR,WR24,null,null,null,null,null,43.6
46,Eric Decker,NYJ,11,35,WR,WR25,null,null,null,null,null,44.9
47,Carlos Hyde,SF,8,32,RB,RB18,null,null,null,null,null,45.7
48,Jeremy Langford,CHI,9,31,RB,RB19,null,null,null,null,null,47.1
49,Greg Olsen,CAR,7,38,TE,TE3,null,null,null,null,null,48.4
50,Doug Baldwin,SEA,5,34,WR,WR26,null,null,null,null,null,48.8
51,Jeremy Hill,CIN,9,30,RB,RB20,null,null,null,null,null,49.1
52,Josh Gordon,CLE,13,31,WR,WR27,415,415,415,415,415,49.8
53,Michael Floyd,ARI,9,33,WR,WR28,null,null,null,null,null,52.3
54,Russell Wilson,SEA,5,34,QB,QB3,72,72,72,72,72,53.2
55,Melvin Gordon III,LAC,11,29,RB,RB21,84.4,84.4,84.4,84.4,84.4,53.7
55,Danny Woodhead,LAC,11,38,RB,RB22,null,null,null,null,null,53.7
57,Marvin Jones Jr.,DET,10,33,WR,WR29,162,162,162,162,162,56.2
58,Arian Foster,MIA,8,36,RB,RB23,null,null,null,null,null,57.4
59,Giovani Bernard,CIN,9,31,RB,RB24,288,288,288,288,288,57.7
60,Andrew Luck,IND,10,33,QB,QB4,null,null,null,null,null,58.3
61,Larry Fitzgerald,ARI,9,39,WR,WR30,null,null,null,null,null,60.2
62,Ryan Mathews,PHI,4,35,RB,RB25,null,null,null,null,null,60.4
63,Drew Brees,NO,5,44,QB,QB5,null,null,null,null,null,61.1
64,Jonathan Stewart,CAR,7,35,RB,RB26,null,null,null,null,null,62.8
65,Delanie Walker,TEN,13,38,TE,TE4,null,null,null,null,null,64
66,Jordan Matthews,PHI,4,30,TE,TE5,null,null,null,null,null,64.2
67,Travis Kelce,KC,5,33,TE,TE6,16.6,16.6,16.6,16.6,16.6,64.3
68,Allen Hurns,JAX,5,31,WR,WR31,null,null,null,null,null,65.5
69,Duke Johnson,CLE,13,29,RB,RB27,296,296,296,296,296,66.9
70,Tom Brady,NE,9,45,QB,QB6,86.7,86.7,86.7,86.7,86.7,68.5
71,DeAngelo Williams,PIT,8,39,RB,RB28,null,null,null,null,null,69.1
72,Emmanuel Sanders,DEN,11,35,WR,WR32,null,null,null,null,null,70.6
73,Ben Roethlisberger,PIT,8,41,QB,QB7,null,null,null,null,null,72
74,Coby Fleener,NO,5,34,TE,TE7,null,null,null,null,null,72.7
75,Tyler Lockett,SEA,5,30,WR,WR33,110.6,110.6,110.6,110.6,110.6,73.4
76,Frank Gore,IND,10,39,RB,RB29,null,null,null,null,null,73.8
77,Rashad Jennings,NYG,8,37,RB,RB30,null,null,null,null,null,74.9
78,John Brown,ARI,9,32,WR,WR34,700,700,700,700,700,78.3
79,Matt Jones,WAS,9,27,RB,RB31,null,null,null,null,null,78.4
80,Derrick Henry,TEN,13,29,RB,RB32,4.2,4.2,4.2,4.2,4.2,78.5
81,Michael Crabtree,LV,10,35,WR,WR35,null,null,null,null,null,78.6
82,Gary Barnidge,CLE,13,37,TE,TE8,null,null,null,null,null,79.6
83,DeSean Jackson,WAS,9,36,WR,WR36,null,null,null,null,null,81.9
84,Ameer Abdullah,DET,10,29,RB,RB33,214,214,214,214,214,82.1
85,Carson Palmer,ARI,9,43,QB,QB8,null,null,null,null,null,83.8
86,Chris Ivory,JAX,5,34,RB,RB34,null,null,null,null,null,84.1
87,Sterling Shepard,NYG,8,30,WR,WR37,172,172,172,172,172,84.7
88,Blake Bortles,JAX,5,30,QB,QB9,640,640,640,640,640,86.1
89,Charles Sims,TB,6,32,RB,RB35,null,null,null,null,null,87.2
90,Zach Ertz,PHI,4,32,TE,TE9,89.5,89.5,89.5,89.5,89.5,88.2
91,Justin Forsett,BAL,8,37,RB,RB36,null,null,null,null,null,90.7
92,James White,NE,9,31,RB,RB37,666,666,666,666,666,90.9
93,LeGarrette Blount,NE,9,36,RB,RB38,null,null,null,null,null,91.6
94,DeVante Parker,MIA,8,30,WR,WR38,135.1,135.1,135.1,135.1,135.1,91.7
95,Willie Snead IV,NO,5,30,WR,WR39,701,701,701,701,701,92.1
96,Eli Manning,NYG,8,42,QB,QB10,null,null,null,null,null,93.3
97,T.J. Yeldon,JAX,5,29,RB,RB39,null,null,null,null,null,93.7
98,Philip Rivers,LAC,11,41,QB,QB11,null,null,null,null,null,96.8
99,Kevin White,CHI,9,29,WR,WR40,731,731,731,731,731,97.7
100,Julius Thomas,JAX,5,34,TE,TE10,null,null,null,null,null,98
101,Devin Funchess,CAR,7,28,TE,TE11,1866,1866,1866,1866,1866,98.5
102,Stefon Diggs,MIN,6,29,WR,WR41,14,14,14,14,14,99.2
103,Christine Michael,SEA,5,32,RB,RB40,null,null,null,null,null,99.6
104,Theo Riddick,DET,10,31,RB,RB41,null,null,null,null,null,99.8
105,Antonio Gates,LAC,11,42,TE,TE12,null,null,null,null,null,101.7
106,Derek Carr,LV,10,31,QB,QB12,102.6,102.6,102.6,102.6,102.6,103.5
106,Denver Broncos,DEN,11,null,DST,DST1,161.5,161.5,161.5,161.5,161.5,103.5
108,Travis Benjamin,LAC,11,33,WR,WR42,null,null,null,null,null,104.2
109,Kamar Aiken,BAL,8,33,WR,WR43,null,null,null,null,null,105.8
110,Bilal Powell,NYJ,11,34,RB,RB42,null,null,null,null,null,105.9
111,Isaiah Crowell,CLE,13,30,RB,RB43,null,null,null,null,null,106.9
112,Tyler Eifert,CIN,9,32,TE,TE13,null,null,null,null,null,108.4
113,Kirk Cousins,WAS,9,34,QB,QB13,107.8,107.8,107.8,107.8,107.8,109.6
114,Tavon Austin,LAR,8,32,WR,WR44,860,860,860,860,860,109.8
115,Arizona Cardinals,ARI,9,null,DST,DST2,165.6,165.6,165.6,165.6,165.6,109.9
116,Jay Ajayi,MIA,8,29,RB,RB44,null,null,null,null,null,111.3
117,Corey Coleman,CLE,13,28,WR,WR45,792,792,792,792,792,112.2
118,Seattle Seahawks,SEA,5,null,DST,DST3,178,178,178,178,178,114.1
119,Tyrod Taylor,BUF,10,33,QB,QB14,468,468,468,468,468,114.3
120,Tajae Sharpe,TEN,13,28,WR,WR46,null,null,null,null,null,115.1
121,Darren Sproles,PHI,4,39,RB,RB45,null,null,null,null,null,116.8
122,Martellus Bennett,NE,9,36,TE,TE14,null,null,null,null,null,117.3
123,Matthew Stafford,DET,10,35,QB,QB15,91.7,91.7,91.7,91.7,91.7,118.6
124,Michael Thomas,NO,5,30,WR,WR47,52.2,52.2,52.2,52.2,52.2,118.7
125,Tevin Coleman,ATL,11,29,RB,RB46,665,665,665,665,665,119.5
126,Vincent Jackson,TB,6,40,WR,WR48,null,null,null,null,null,119.9
127,Markus Wheaton,PIT,8,32,WR,WR49,null,null,null,null,null,122.3
128,Jameis Winston,TB,6,29,QB,QB16,148.1,148.1,148.1,148.1,148.1,123.4
129,Carolina Panthers,CAR,7,null,DST,DST4,163.5,163.5,163.5,163.5,163.5,123.6
130,Steve Smith,BAL,8,43,WR,WR50,null,null,null,null,null,124.6
131,Spencer Ware,KC,5,31,RB,RB47,null,null,null,null,null,125.8
132,DeAndre Washington,LV,10,30,RB,RB48,null,null,null,null,null,126.2
133,Torrey Smith,SF,8,34,WR,WR51,null,null,null,null,null,127.3
134,Houston Texans,HOU,9,null,DST,DST5,193,193,193,193,193,130.1
135,Dion Lewis,NE,9,32,RB,RB49,null,null,null,null,null,130.2
135,Alfred Morris,DAL,7,34,RB,RB50,null,null,null,null,null,130.2
137,William Fuller V,HOU,9,28,WR,WR52,null,null,null,null,null,130.4
138,Dwayne Allen,IND,10,33,TE,TE15,null,null,null,null,null,131.2
139,Andy Dalton,CIN,9,35,QB,QB17,477,477,477,477,477,132.7
140,Kansas City Chiefs,KC,5,null,DST,DST6,151.3,151.3,151.3,151.3,151.3,133.4
141,Mohamed Sanu,ATL,11,33,WR,WR53,1956,1956,1956,1956,1956,134.1
142,Marcus Mariota,TEN,13,29,QB,QB18,245,245,245,245,245,136.3
143,Jared Cook,GB,4,35,TE,TE16,null,null,null,null,null,137
144,Tyler Boyd,CIN,9,28,WR,WR54,121.3,121.3,121.3,121.3,121.3,137.6
145,Rishard Matthews,TEN,13,33,WR,WR55,null,null,null,null,null,138.3
146,Devontae Booker,DEN,11,30,RB,RB51,null,null,null,null,null,140.9
147,Stephen Gostkowski,NE,9,39,K,K1,null,null,null,null,null,142.6
147,Chris Hogan,NE,9,35,WR,WR56,null,null,null,null,null,142.6
149,Jimmy Graham,SEA,5,36,TE,TE17,null,null,null,null,null,144.3
150,Dak Prescott,DAL,7,29,QB,QB19,84.8,84.8,84.8,84.8,84.8,144.8
151,New York Jets,NYJ,11,null,DST,DST7,130.8,130.8,130.8,130.8,130.8,145.8
152,Matt Ryan,ATL,11,37,QB,QB20,132,132,132,132,132,146.5
153,Minnesota Vikings,MIN,6,null,DST,DST8,156.7,156.7,156.7,156.7,156.7,147.8
154,Jerick McKinnon,MIN,6,30,RB,RB52,210,210,210,210,210,148.8
155,Phillip Dorsett,IND,10,30,WR,WR57,212,212,212,212,212,148.9
156,Shane Vereen,NYG,8,33,RB,RB53,null,null,null,null,null,149.9
157,Ryan Fitzpatrick,NYJ,11,40,QB,QB21,null,null,null,null,null,151.1
158,Jason Witten,DAL,7,40,TE,TE18,null,null,null,null,null,151.2
158,Kenny Stills,MIA,8,30,WR,WR58,null,null,null,null,null,151.2
160,Stephen Hauschka,SEA,5,37,K,K2,null,null,null,null,null,152.1
161,New England Patriots,NE,9,null,DST,DST9,164.6,164.6,164.6,164.6,164.6,152.2
162,Mike Wallace,BAL,8,36,WR,WR59,null,null,null,null,null,153.2
163,Ted Ginn Jr.,CAR,7,37,WR,WR60,null,null,null,null,null,153.5
164,James Starks,GB,4,37,RB,RB54,null,null,null,null,null,154.9
165,Sammie Coates,PIT,8,29,WR,WR61,null,null,null,null,null,156.1
166,Ryan Tannehill,MIA,8,34,QB,QB22,215,215,215,215,215,157.4
166,Zach Miller,CHI,9,38,TE,TE19,null,null,null,null,null,157.4
168,Terrelle Pryor,CLE,13,33,WR,WR62,null,null,null,null,null,157.7
169,Terrance West,BAL,8,32,RB,RB55,null,null,null,null,null,158.5
170,Justin Tucker,BAL,8,33,K,K3,135.9,135.9,135.9,135.9,135.9,158.8
171,Los Angeles Rams,LAR,8,null,DST,DST10,129.8,129.8,129.8,129.8,129.8,158.9
172,Robert Griffin III,CLE,13,33,QB,QB23,null,null,null,null,null,159.3
172,Dorial Green-Beckham,PHI,4,29,WR,WR63,null,null,null,null,null,159.3
174,Chris Johnson,ARI,9,37,RB,RB56,null,null,null,null,null,159.4
175,Victor Cruz,NYG,8,36,WR,WR64,null,null,null,null,null,160.1
176,Graham Gano,CAR,7,35,K,K4,472,472,472,472,472,160.6
177,Cincinnati Bengals,CIN,9,null,DST,DST11,165.2,165.2,165.2,165.2,165.2,160.9
178,Dan Bailey,DAL,7,35,K,K5,null,null,null,null,null,162
179,Brock Osweiler,HOU,9,32,QB,QB24,null,null,null,null,null,163.3
180,Chandler Catanzaro,ARI,9,32,K,K6,null,null,null,null,null,163.4
181,Las Vegas Raiders,LV,10,null,DST,DST12,190,190,190,190,190,164.7
182,Philadelphia Eagles,PHI,4,null,DST,DST13,160.7,160.7,160.7,160.7,160.7,165.4
183,Green Bay Packers,GB,4,null,DST,DST14,143.8,143.8,143.8,143.8,143.8,167.1
184,Brandon McManus,DEN,11,31,K,K7,155.6,155.6,155.6,155.6,155.6,169.6
185,Mason Crosby,GB,4,38,K,K8,464,464,464,464,464,169.9
186,Adam Vinatieri,IND,10,50,K,K9,null,null,null,null,null,170.5
187,Pierre Garcon,WAS,9,36,WR,WR65,null,null,null,null,null,171
188,Chris Boswell,PIT,8,31,K,K10,471,471,471,471,471,172.4
189,Terrance Williams,DAL,7,33,WR,WR66,null,null,null,null,null,173
190,Cairo Santos,KC,5,31,K,K11,481,481,481,481,481,173.4
191,Kenny Britt,LAR,8,34,WR,WR67,null,null,null,null,null,174
192,Robert Woods,BUF,10,30,WR,WR68,102.7,102.7,102.7,102.7,102.7,175
193,Laquon Treadwell,MIN,6,27,WR,WR69,238,238,238,238,238,176
194,Davante Adams,GB,4,30,WR,WR70,12.4,12.4,12.4,12.4,12.4,177
195,Jermaine Kearse,SEA,5,33,WR,WR71,null,null,null,null,null,178
196,Anquan Boldin,DET,10,42,WR,WR72,null,null,null,null,null,179
197,Kendall Wright,TEN,13,33,WR,WR73,null,null,null,null,null,182
198,Chris Thompson,WAS,9,32,RB,RB57,null,null,null,null,null,183
199,Chris Conley,KC,5,30,WR,WR74,217,217,217,217,217,184
200,Breshad Perriman,BAL,8,29,WR,WR75,313,313,313,313,313,185
201,Jamison Crowder,WAS,9,29,WR,WR76,190,190,190,190,190,186
202,Brandon LaFell,CIN,9,36,WR,WR77,null,null,null,null,null,187
203,Cole Beasley,DAL,7,33,WR,WR78,null,null,null,null,null,188
204,Nelson Agholor,PHI,4,29,WR,WR79,199,199,199,199,199,189
205,Eddie Royal,CHI,9,36,WR,WR80,null,null,null,null,null,190
206,Quinton Patton,SF,8,32,WR,WR81,null,null,null,null,null,191
207,Shaun Draughn,SF,8,35,RB,RB58,null,null,null,null,null,192
208,Charles Johnson,MIN,6,34,WR,WR82,null,null,null,null,null,193
209,Justin Hardy,ATL,11,31,WR,WR83,null,null,null,null,null,194
210,Eli Rogers,PIT,8,30,WR,WR84,null,null,null,null,null,195
211,Josh Doctson,WAS,9,30,WR,WR85,null,null,null,null,null,196
212,Seth Roberts,LV,10,32,WR,WR86,null,null,null,null,null,197
213,C.J. Prosise,SEA,5,28,RB,RB59,null,null,null,null,null,198
214,Javorius Allen,BAL,8,31,RB,RB60,null,null,null,null,null,199
