Rank,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPosition
77,Matt Ryan,ATL,10,37,QB,QB8,129.8,129.8,129.8,129.8,129.8,75.4
78,Jordan Cameron,MIA,5,34,TE,TE7,null,null,null,null,null,76.3
79,Tony Romo,DAL,6,42,QB,QB9,null,null,null,null,null,77.9
80,Steve Smith,BAL,9,43,WR,WR32,null,null,null,null,null,78.8
81,Alfred Blue,HOU,9,31,RB,RB33,null,null,null,null,null,79.2
82,Sam Bradford,PHI,8,35,QB,QB10,null,null,null,null,null,79.8
83,Darren McFadden,DAL,6,35,RB,RB34,null,null,null,null,null,80.5
84,Isaiah Crowell,CLE,11,30,RB,RB35,null,null,null,null,null,82.7
85,Giovani Bernard,CIN,7,31,RB,RB36,289,289,289,289,289,82.8
86,Owen Daniels,DEN,7,40,TE,TE8,null,null,null,null,null,83.4
87,Tevin Coleman,ATL,10,29,RB,RB37,650,650,650,650,650,83.6
88,Victor Cruz,NYG,11,36,WR,WR33,null,null,null,null,null,84
89,Mike Wallace,MIN,5,36,WR,WR34,null,null,null,null,null,86.8
90,Matthew Stafford,DET,9,35,QB,QB11,78.4,78.4,78.4,78.4,78.4,87.8
91,Jason Witten,DAL,6,40,TE,TE9,null,null,null,null,null,88.5
92,Larry Fitzgerald,ARI,9,39,WR,WR35,null,null,null,null,null,88.9
93,Tre Mason,LAR,6,29,RB,RB38,null,null,null,null,null,91.2
94,Ryan Tannehill,MIA,5,34,QB,QB12,185,185,185,185,185,91.6
95,Markus Wheaton,PIT,11,32,WR,WR36,null,null,null,null,null,92
96,Danny Woodhead,LAC,10,38,RB,RB39,null,null,null,null,null,92.9
97,Devin Funchess,CAR,5,28,TE,TE10,1850,1850,1850,1850,1850,94.2
98,Tyler Eifert,CIN,7,32,TE,TE11,null,null,null,null,null,95.1
99,Shane Vereen,NYG,11,33,RB,RB40,null,null,null,null,null,95.2
100,Eddie Royal,CHI,7,36,WR,WR37,null,null,null,null,null,95.7
101,Seattle Seahawks,SEA,9,null,DST,DST1,108.5,108.5,108.5,108.5,108.5,97.2
102,Terrance Williams,DAL,6,33,WR,WR38,null,null,null,null,null,97.6
103,Bishop Sankey,TEN,4,30,RB,RB41,null,null,null,null,null,98.3
104,Devonta Freeman,ATL,10,30,RB,RB42,null,null,null,null,null,99.1
105,Delanie Walker,TEN,4,38,TE,TE12,null,null,null,null,null,102.3
106,Eli Manning,NYG,11,42,QB,QB13,null,null,null,null,null,103.4
106,Eric Decker,NYJ,5,35,WR,WR39,null,null,null,null,null,103.4
108,Roddy White,ATL,10,41,WR,WR40,null,null,null,null,null,106.3
109,Steve Johnson,LAC,10,36,WR,WR41,null,null,null,null,null,106.5
110,Ronnie Hillman,DEN,7,31,RB,RB43,null,null,null,null,null,106.6
111,Brian Quick,LAR,6,33,WR,WR42,null,null,null,null,null,106.7
112,Houston Texans,HOU,9,null,DST,DST2,186,186,186,186,186,107.5
113,Duke Johnson,CLE,11,29,RB,RB44,277,277,277,277,277,109
114,Anquan Boldin,SF,10,42,WR,WR43,null,null,null,null,null,109.5
115,Buffalo Bills,BUF,8,null,DST,DST3,110.5,110.5,110.5,110.5,110.5,109.9
116,Kendall Wright,TEN,4,33,WR,WR44,null,null,null,null,null,110.9
117,Philip Rivers,LAC,10,41,QB,QB14,null,null,null,null,null,111.4
118,DeVante Parker,MIA,5,30,WR,WR45,137.2,137.2,137.2,137.2,137.2,114.4
119,Miami Dolphins,MIA,5,null,DST,DST4,156.9,156.9,156.9,156.9,156.9,115
120,Cam Newton,CAR,5,33,QB,QB15,null,null,null,null,null,115.8
121,David Cobb,TEN,4,29,RB,RB45,null,null,null,null,null,116
122,Knile Davis,KC,9,31,RB,RB46,null,null,null,null,null,116.8
123,Kyle Rudolph,MIN,5,33,TE,TE13,147.9,147.9,147.9,147.9,147.9,117.2
124,Marques Colston,NO,11,39,WR,WR46,null,null,null,null,null,120.6
124,Pierre Garcon,WAS,8,36,WR,WR47,null,null,null,null,null,120.6
126,David Johnson,ARI,9,31,RB,RB47,null,null,null,null,null,120.9
127,Darren Sproles,PHI,8,39,RB,RB48,null,null,null,null,null,121.3
128,Teddy Bridgewater,MIN,5,30,QB,QB16,455,455,455,455,455,121.8
129,Los Angeles Rams,LAR,6,null,DST,DST5,125.1,125.1,125.1,125.1,125.1,124
130,Torrey Smith,SF,10,34,WR,WR48,null,null,null,null,null,124.2
131,DeAngelo Williams,PIT,11,39,RB,RB49,null,null,null,null,null,124.3
132,Michael Floyd,ARI,9,33,WR,WR49,null,null,null,null,null,125.6
133,Julius Thomas,JAX,8,34,TE,TE14,null,null,null,null,null,126.1
134,Zach Ertz,PHI,8,32,TE,TE15,97.4,97.4,97.4,97.4,97.4,127.7
135,Brandon LaFell,NE,4,36,WR,WR50,null,null,null,null,null,129
136,Brandon Coleman,NO,11,30,WR,WR51,null,null,null,null,null,129.4
137,Jonas Gray,NE,4,32,RB,RB50,null,null,null,null,null,129.5
138,Carson Palmer,ARI,9,43,QB,QB17,null,null,null,null,null,129.9
139,Matt Jones,WAS,8,27,RB,RB51,null,null,null,null,null,130.5
140,Philadelphia Eagles,PHI,8,null,DST,DST6,156.3,156.3,156.3,156.3,156.3,131.6
141,Dwayne Allen,IND,10,33,TE,TE16,null,null,null,null,null,136.6
142,Reggie Bush,SF,10,38,RB,RB52,null,null,null,null,null,136.9
143,Breshad Perriman,BAL,9,29,WR,WR52,312,312,312,312,312,138.6
144,New York Jets,NYJ,5,null,DST,DST7,147.2,147.2,147.2,147.2,147.2,139.2
145,Marvin Jones Jr.,CIN,7,33,WR,WR53,170,170,170,170,170,140.1
146,Arizona Cardinals,ARI,9,null,DST,DST8,144.6,144.6,144.6,144.6,144.6,141.6
147,Ty Montgomery,GB,7,30,WR,WR54,294,294,294,294,294,142.6
148,Denver Broncos,DEN,7,null,DST,DST9,152.7,152.7,152.7,152.7,152.7,142.8
